Jahr,Titel englisch
2016,Bridget Jones's Baby
2016,Assassin's Creed
2016,Me before You
2016,London has fallen
2016,The Monkey King 2 3D
2016,Arrival
2016,The BFG
2016,Storks
2016,Bad Moms
2016,The Divergent Series: Allegiant
2016,The Girl on the Train
2016,The Huntsman: Winter's War
2016,Hacksaw Ridge
2016,Jack Reacher: Never Go Back
2016,The Magnificent Seven
2016,Ip Man 3
2016,Don't Breathe
2016,The Accountant
2016,Gods of Egypt
2016,Lights Out
2016,Pete's Dragon
2016,Sausage Party
2016,Detective Chinatown (Tang ren jie tan an)
2016,Mechanic: Resurrection
2016,Ride Along 2
2016,Deepwater Horizon
2016,The Shallows
2016,The Purge: Election Year
2016,Office Christmas Party
2016,Allied
2016,How to be Single
2016,Why Him?
2016,The 5th Wave
2016,Hidden Figures
2016,10 Cloverfield Lane
2016,Neighbors 2: Sorority Rising
2016,The Little Prince
2016,Dirty Grandpa
2016,Ben-Hur
2016,Money Monster
2016,Train to Busan
2016,Collateral Beauty
2016,13 Hours: The Secret Soldiers of Benghazi
2016,Eddie the Eagle
2016,Manchester by the Sea
2016,Snowden
2016,Nocturnal Animals
2016,Middle School: The Worst Years of My Life
2016,Whiskey Tango Foxtrot
2016,The Man Who Knew Infinity
2016,A Hologram for the King
2016,Where to Invade Next
2016,A Man Called Ove
2016,The Dressmaker
2016,Ratchet & Clank
2016,Secret in their eyes
2016,Truth
2016,Pawn Sacrifice
2016,Suffragette
2016,The Big Short
2016,Max Steel
2016,Concussion
2016,Legend
2016,Spotlight
2016,Anne Frank
2016,Sherlock: The Abominable Bride
2016,Der geilste Tag
2016,The Hateful Eight
2016,The Revenant
2016,Time Raiders
2015,Star Wars: The Force Awakens
2015,Jurassic World
2015,Avengers: Age of Ultron
2015,Inside Out
2015,Furious 7
2015,Minions
2015,The Hunger Games: Mockingjay - Part 2
2015,The Martian
2015,Cinderella (2015)
2015,Mission: Impossible – Rogue Nation
2015,Spectre
2015,Pitch Perfect 2
2015,Ant-Man
2015,Home (2015)
2015,Hotel Transylvania 2
2015,Fifty Shades of Grey
2015,The SpongeBob Movie: Sponge Out of Water
2015,Straight Outta Compton
2015,San Andreas
2015,Mad Max: Fury Road
2015,The Divergent Series: Insurgent
2015,Kingsman: The Secret Service
2015,The Peanuts Movie
2015,Spy
2015,Trainwreck
2015,Tomorrowland
2015,Get Hard
2015,Terminator: Genisys
2015,Taken 3
2015,Ted 2
2015,The Good Dinosaur
2015,Maze Runner: The Scorch Trials
2015,Pixels
2015,Goosebumps
2015,Paddington
2015,The Intern
2015,Creed
2015,Paul Blart: Mall Cop 2
2015,Bridge of Spies
2015,War Room
2015,Magic Mike XXL
2015,The Visit
2015,The Wedding Ringer
2015,Black Mass
2015,Vacation
2015,The Perfect Guy
2015,Fantastic Four
2015,Focus (2015)
2015,Southpaw
2015,Insidious Chapter 3
2015,Poltergeist (2015)
2015,Jupiter Ascending
2015,Sicario
2015,The Man From U.N.C.L.E.
2015,"McFarland, USA"
2015,The Gift (2015)
2015,Everest (2015)
2015,Max (2015)
2015,The Age of Adaline
2015,The Longest Ride
2015,The Night Before
2015,The Boy Next Door
2015,Pan
2015,Hot Pursuit
2015,The DUFF
2015,Woman in Gold
2015,The Second Best Exotic Marigold Hotel
2015,Unfriended
2015,Entourage
2015,Paper Towns
2015,Chappie
2015,Crimson Peak
2015,A Walk in the Woods
2015,Sinister 2
2015,No Escape
2015,The Last Witch Hunter
2015,Ricki and the Flash
2015,The Woman in Black 2: Angel of Death
2015,Run All Night
2015,The Lazarus Effect
2015,Ex Machina
2015,Love the Coopers
2015,The Gallows
2015,Krampus
2015,Hitman: Agent 47
2015,Project Almanac
2015,Black or White
2015,Aloha
2015,Shaun the Sheep Movie
2015,Still Alice
2015,Spotlight
2015,The Secret in their Eyes (2015)
2015,Paranormal Activity: The Ghost Dimension
2015,Steve Jobs
2015,Mr. Holmes
2015,Dope
2015,Seventh Son
2015,Monkey Kingdom
2015,The Transporter Refueled
2015,It Follows
2015,American Ultra
2015,Fack ju Göhte 2
2015,Imitation Game
2015,Mortdecai
2015,Black Sea
2015,Blackhat
2015,Child 44
2015,Clouds of Sils Maria
2015,Hot Tub Time Machine 2
2015,The 100-Year Old Man Who Climbed Out the Window and Disappeared
2015,The Loft
2015,John Wick
2015,Hardcore Henry
2014,Guardians of the Galaxy
2014,Captain America: The Winter Soldier
2014,The LEGO Movie
2014,The Hunger Games: Mockingjay – Part 1
2014,Transformers: Age of Extinction
2014,Maleficent
2014,The Hobbit: The Battle fo the Five Armies
2014,X-Men: Days of Future Past
2014,Big Hero 6
2014,Dawn of the Planet of the Apes
2014,The Amazing Spider-Man 2
2014,Godzilla (2014)
2014,22 Jump Street
2014,Teenage Mutant Ninja Turtles (2014)
2014,Interstellar
2014,How to Train Your Dragon 2
2014,Divergent
2014,Neighbors
2014,Ride Along
2014,Rio 2
2014,Lucy
2014,The Fault in our Stars
2014,Mr. Peabody & Sherman
2014,Gone Girl
2014,300: Rise of An Empire
2014,Unbroken
2014,Noah
2014,Edge of Tomorrow
2014,Non-Stop
2014,Heaven is for Real
2014,The Maze Runner
2014,The Equalizer
2014,Tammy
2014,The Other Woman (2014)
2014,Let's Be Cops
2014,Penguins of Madagascar
2014,The Monuments Men
2014,Annabelle
2014,Hercules (2014)
2014,The Purge: Anarchy
2014,Think Like a Man Too
2014,The Nut Job
2014,Exodus: Gods and Kings
2014,God's Not Dead
2014,Son of God
2014,The Grand Budapest Hotel
2014,Planes: Fire & Rescue
2014,RoboCop (2014)
2014,The Hundred-Foot Journey
2014,No Good Deed (2014)
2014,Muppets Most Wanted
2014,Jack Ryan: Shadow Recruit
2014,If I Stay
2014,About Last Night (2014)
2014,Into The Storm
2014,Jersey Boys
2014,The Boxtrolls
2014,Blended
2014,The Giver
2014,Need for Speed
2014,A Million Ways to Die in the West
2014,Dracula Untold
2014,Dolphin Tale 2
2014,The Expendables 3
2014,Earth to Echo
2014,Sex Tape
2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
2014,Million Dollar Arm
2014,This is Where I Leave You
2014,Paranormal Activity: The Marked Ones
2014,Chef
2014,3 Days to Kill
2014,Deliver Us From Evil
2014,Get On Up
2014,When the Game Stands Tall
2014,Fury (2014)
2014,Draft Day
2014,The Judge
2014,Oculus
2014,That Awkward Moment
2014,A Walk Among the Tombstones
2014,The November Man
2014,Boyhood
2014,Endless Love (2014)
2014,Pompeii
2014,Transcendence
2014,As Above/So Below
2014,Brick Mansions
2014,"I, Frankenstein"
2014,The Legend of Hercules
2014,The Book of Life (2014)
2014,Bears
2014,A Haunted House 2
2014,A Most Wanted Man
2014,Begin Again
2014,Tyler Perry's The Single Moms Club
2014,Devil's Due
2014,And So It Goes
2014,Step Up All In
2014,America (2014)
2014,Frank Miller's Sin City: A Dame to Kill For
2014,Addicted
2014,Labor Day
2014,Left Behind (2014)
2014,Winter's Tale
2014,The Best of Me
2014,Birdman
2014,Moms' Night Out
2014,Belle
2014,Top Five
2014,The Physician
2014,–
2014,Serial (Bad) Weddings
2014,Nightcrawler
2014,Paddington
2014,–
2014,Night at the Museum: Secret of the Tomb
2014,American Sniper
2014,The Hungover Games
2014,Sapphire Blue
2014,Better Living Through Chemistry
2014,The Theory of Everything
2014,Labyrith of Lies
2014,Whiplash
2013,The Hunger Games: Catching Fire
2013,Iron Man 3
2013,Despicable Me 2
2013,Frozen
2013,Man of Steel
2013,Monsters University
2013,Gravity
2013,The Hobbit: The Desolation of Smaug
2013,Fast & Furious 6
2013,Oz The Great and Powerful
2013,Star Trek Into Darkness
2013,Thor: The Dark World
2013,World War Z
2013,The Croods
2013,The Heat
2013,We're the Millers
2013,The Great Gatsby (2013)
2013,The Conjuring
2013,Identity Thief
2013,American Hustle
2013,Grown Ups 2
2013,The Wolverine
2013,Anchorman 2: The Legend Continues
2013,G.I. Joe: Retaliation
2013,Cloudy with a Chance of Meatballs 2
2013,Now You See Me
2013,Lee Daniels' The Butler
2013,The Hangover Part III
2013,Epic
2013,Captain Phillips
2013,Lone Survivor
2013,The Wolf of Wall Street
2013,Jackass Presents: Bad Grandpa
2013,Pacific Rim
2013,This is the End
2013,Olympus Has Fallen
2013,42
2013,Elysium
2013,Planes
2013,The Lone Ranger
2013,Oblivion
2013,Insidious Chapter 2
2013,Turbo
2013,Saving Mr. Banks
2013,2 Guns
2013,White House Down
2013,Mama
2013,Safe Haven
2013,The Smurfs 2
2013,The Best Man Holiday
2013,Percy Jackson: Sea of Monsters
2013,A Good Day to Die Hard
2013,Warm Bodies
2013,Jack the Giant Slayer
2013,The Purge
2013,Last Vegas
2013,Ender's Game
2013,Prisoners
2013,After Earth
2013,Escape From Planet Earth
2013,The Secret Life of Walter Mitty
2013,Hansel and Gretel: Witch Hunters
2013,Free Birds
2013,Evil Dead (2013)
2013,Red 2
2013,Tyler Perry's A Madea Christmas
2013,Tyler Perry's Temptation: Confessions of a Marriage Counselor
2013,The Call
2013,Pain and Gain
2013,12 Years a Slave
2013,Gangster Squad
2013,Jurassic Park 3D
2013,The Internship
2013,Instructions Not Included
2013,Snitch
2013,Riddick
2013,A Haunted House
2013,47 Ronin
2013,The Family (2013)
2013,Carrie (2013)
2013,Walking with Dinosaurs
2013,Texas Chainsaw 3D
2013,R.I.P.D.
2013,Blue Jasmine
2013,Kevin Hart: Let Me Explain
2013,August: Osage County
2013,Side Effects (2013)
2013,Scary Movie 5
2013,The Mortal Instruments: City of Bones
2013,Delivery Man
2013,Grudge Match
2013,One Direction: This is Us
2013,Kick-Ass 2
2013,Philomena
2013,Rush (2013)
2013,The Host (2013)
2013,The World's End
2013,21 and Over
2013,Escape Plan
2013,Don Jon
2013,The Incredible Burt Wonderstone
2013,The Big Wedding
2013,Mud
2013,The Place Beyond the Pines
2013,"The Way, Way Back"
2013,Broken City
2013,Beautiful Creatures (2013)
2013,You're Next
2013,Quartet
2013,Admission
2013,Parker
2013,Dark Skies
2013,jOBS
2013,Fruitvale Station
2013,Baggage Claim
2013,The Last Exorcism Part II
2013,Spring Breakers
2013,The Last Stand
2013,Dead Man Down
2013,Getaway (2013)
2013,Runner Runner
2013,Bullet to the Head
2013,Tyler Perry Presents Peeples
2013,Movie 43
2013,Battle of the Year
2013,Before Midnight
2013,Paranoia
2013,About Time
2013,The Spectacular NOW
2013,–
2013,Justin and the Knights of Valour
2013,–
2013,–
2013,Inside Llewyn Davis
2013,Vehicle 19
2013,I Give It a Year
2013,Ruby Red
2013,Fack ju Göhte
2013,The Love Punch
2013,Man of Tai Chi
2013,The Fifth Estate
2012,Marvel's The Avengers
2012,The Dark Knight Rises
2012,The Hunger Games
2012,Skyfall
2012,The Twilight Saga: Breaking Dawn Part 2
2012,The Amazing Spider-Man
2012,The Hobbit: An Unexpected Journey
2012,Brave
2012,Ted
2012,Madagascar 3: Europe's Most Wanted
2012,Dr. Seuss' The Lorax
2012,MIB 3
2012,Wreck-It Ralph
2012,Ice Age: Continental Drift
2012,Snow White and the Huntsman
2012,Hotel Transylvania
2012,Taken 2
2012,21 Jump Street
2012,Lincoln
2012,Prometheus
2012,Safe House
2012,The Vow
2012,Magic Mike
2012,The Bourne Legacy
2012,Argo
2012,Journey 2: The Mysterious Island
2012,Rise of the Guardians
2012,Flight
2012,Think Like a Man
2012,Life of Pi
2012,The Campaign
2012,The Expendables 2
2012,Les Miserables (2012)
2012,Wrath of the Titans
2012,Django Unchained
2012,Dark Shadows
2012,John Carter
2012,Act of Valor
2012,Contraband
2012,Looper
2012,Tyler Perry's Madea's Witness Protection
2012,Battleship
2012,Mirror Mirror
2012,Chronicle (2012)
2012,Pitch Perfect
2012,Hope Springs
2012,Underworld Awakening
2012,The Lucky One
2012,The Dictator
2012,Total Recall (2012)
2012,Titanic 3D
2012,American Reunion
2012,ParaNorman
2012,This Means War
2012,Project X
2012,The Woman in Black
2012,Paranormal Activity 4
2012,Jack Reacher
2012,The Devil Inside
2012,The Odd Life of Timothy Green
2012,Ghost Rider: Spirit of Vengeance
2012,The Grey
2012,Red Tails
2012,The Possession
2012,Diary of a Wimpy Kid: Dog Days
2012,Sinister
2012,Beauty and the Beast (3D)
2012,Savages (2012)
2012,The Best Exotic Marigold Hotel
2012,Moonrise Kingdom
2012,This Is 40
2012,The Three Stooges
2012,Here Comes the Boom
2012,Red Dawn (2012)
2012,Star Wars: Episode I - The Phantom Menace (in 3D)
2012,Resident Evil: Retribution
2012,The Cabin in the Woods
2012,What to Expect When You're Expecting
2012,Finding Nemo (3D)
2012,End of Watch
2012,Parental Guidance
2012,Rock of Ages
2012,Abraham Lincoln: Vampire Hunter
2012,Lawless
2012,That's My Boy
2012,Trouble with the Curve
2012,The Watch
2012,Step Up Revolution
2012,Tyler Perry's Good Deeds
2012,Frankenweenie
2012,2016 Obama's America
2012,House at the End of The Street
2012,The Pirates! Band of Misfits
2012,Joyful Noise
2012,Silver Linings Playbook
2012,Chimpanzee
2012,The Five-Year Engagement
2012,Cloud Atlas
2012,One For the Money
2012,Alex Cross
2012,The Intouchables
2012,Hannah Arendt
2012,Man on a Ledge
2012,A Thousand Words
2012,Dredd
2012,Lockout
2012,Stolen
2012,Zero Dark Thirty
2012,Astérix et Obélix: Au Service de Sa Majesté
2012,Seven Psychopaths
2012,Promised Land
2012,The Company You Keep
2012,Gambit
2012,Upside Down
2012,The Cold Light of Day
2012,Anna Karenina
2011,Harry Potter and the Deathly Hallows Part 2
2011,Transformers: Dark of the Moon
2011,The Twilight Saga: Breaking Dawn Part 1
2011,The Hangover Part II
2011,Pirates of the Caribbean: On Stranger Tides
2011,Fast Five
2011,Mission: Impossible - Ghost Protocol
2011,Cars 2
2011,Sherlock Holmes: A Game of Shadows
2011,Thor
2011,Rise of the Planet of the Apes
2011,Captain America: The First Avenger
2011,The Help
2011,Bridesmaids
2011,Kung Fu Panda 2
2011,Puss in Boots
2011,X-Men: First Class
2011,Rio
2011,The Smurfs
2011,Alvin and the Chipmunks: Chipwrecked
2011,Super 8
2011,Rango
2011,Horrible Bosses
2011,Green Lantern
2011,Hop
2011,Paranormal Activity 3
2011,Just Go With It
2011,The Girl with the Dragon Tattoo (2011)
2011,Bad Teacher
2011,Cowboys & Aliens
2011,Gnomeo and Juliet
2011,The Green Hornet
2011,The Lion King (in 3D)
2011,The Muppets
2011,Real Steel
2011,"Crazy, Stupid, Love."
2011,Battle: Los Angeles
2011,Immortals
2011,The Descendants
2011,Zookeeper
2011,War Horse
2011,Limitless
2011,Tower Heist
2011,The Adventures of Tintin
2011,Contagion
2011,We Bought a Zoo
2011,Moneyball
2011,Jack and Jill
2011,Hugo
2011,Justin Bieber: Never Say Never
2011,Dolphin Tale
2011,No Strings Attached
2011,Mr. Popper's Penguins
2011,Happy Feet Two
2011,Unknown
2011,The Adjustment Bureau
2011,Water for Elephants
2011,The Lincoln Lawyer
2011,Midnight in Paris
2011,Friends with Benefits
2011,I Am Number Four
2011,Source Code
2011,New Year's Eve
2011,Insidious
2011,Tyler Perry's Madea's Big Happy Family
2011,Diary of a Wimpy Kid: Rodrick Rules
2011,Footloose (2011)
2011,The Dilemma
2011,Arthur Christmas
2011,Hall Pass
2011,The Artist
2011,Soul Surfer
2011,Final Destination 5
2011,The Ides of March
2011,Hanna
2011,Something Borrowed
2011,Spy Kids: All the Time in the World
2011,Scream 4
2011,"Big Mommas: Like Father, Like Son"
2011,Red Riding Hood
2011,In Time
2011,Paul
2011,J. Edgar
2011,The Roommate
2011,Jumping the Broom
2011,The Change-Up
2011,30 Minutes or Less
2011,Colombiana
2011,Sucker Punch
2011,Larry Crowne
2011,A Very Harold & Kumar 3D Christmas
2011,Drive (2011)
2011,50/50
2011,Courageous
2011,The Rite
2011,Arthur (2011)
2011,Extremely Loud & Incredibly Close
2011,The Debt
2011,The Sitter
2011,The Iron Lady
2011,Kokowääh
2011,What a Man
2011,Margin Call
2011,The Mechanic
2011,The Three Musketeers
2011,Mars needs Moms
2011,What's Your Number?
2011,Sanctum
2011,Jane Eyre
2011,The Eagle
2011,Flying Swords of Dragon Gate
2011,Salmon Fishing in the Yemen
2011,–
2011,One Day
2011,The Tree of Life
2011,Rampart
2011,5 Days of War
2010,Toy Story 3
2010,Alice in Wonderland (2010)
2010,Iron Man 2
2010,The Twilight Saga: Eclipse
2010,Harry Potter and the Deathly Hallows Part 1
2010,Inception
2010,Despicable Me
2010,Shrek Forever After
2010,How to Train Your Dragon
2010,Tangled
2010,The Karate Kid
2010,Tron Legacy
2010,True Grit
2010,Clash of the Titans (2010)
2010,Grown Ups
2010,Little Fockers
2010,Megamind
2010,The King's Speech
2010,The Last Airbender
2010,Shutter Island
2010,The Other Guys
2010,Salt
2010,Jackass 3-D
2010,Valentine's Day
2010,Black Swan
2010,Robin Hood
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader
2010,The Expendables
2010,Due Date
2010,Yogi Bear
2010,Date Night
2010,The Social Network
2010,Sex and the City 2
2010,The Book of Eli
2010,The Fighter
2010,The Town
2010,Prince of Persia: The Sands of Time
2010,Red
2010,Percy Jackson & The Olympians: The Lightning Thief
2010,Paranormal Activity 2
2010,Unstoppable
2010,Eat Pray Love
2010,Dear John
2010,The A-Team
2010,Knight & Day
2010,Dinner for Schmucks
2010,The Tourist
2010,The Bounty Hunter
2010,Diary of a Wimpy Kid
2010,The Sorcerer's Apprentice
2010,A Nightmare on Elm Street (2010)
2010,The Last Song
2010,The Wolfman
2010,Get Him to the Greek
2010,Resident Evil: Afterlife
2010,Tyler Perry's Why Did I Get Married Too?
2010,Tooth Fairy
2010,Secretariat
2010,Easy A
2010,Takers
2010,Legend of the Guardians: The Owls of Ga'Hoole
2010,Life as We Know It
2010,Letters to Juliet
2010,Wall Street: Money Never Sleeps
2010,Predators
2010,Hot Tub Time Machine
2010,Kick-Ass
2010,Killers
2010,Saw 3D
2010,Cop Out
2010,Cats & Dogs: The Revenge of Kitty Galore
2010,Edge of Darkness
2010,Gulliver's Travels
2010,Death at a Funeral (2010)
2010,Step Up 3-D
2010,The Last Exorcism
2010,Hubble 3D
2010,Legion (2010)
2010,Burlesque
2010,The Crazies
2010,For Colored Girls
2010,The Back-Up Plan
2010,Vampires Suck
2010,The American
2010,Green Zone
2010,Marmaduke
2010,Devil
2010,Hereafter
2010,When in Rome
2010,Love and Other Drugs
2010,She's Out of My League
2010,Scott Pilgrim vs. the World
2010,Charlie St. Cloud
2010,Morning Glory
2010,How Do You Know
2010,Daybreakers
2010,Nanny McPhee Returns
2010,The Switch
2010,Brooklyn's Finest
2010,Machete
2010,माय नेम इज़ ख़ान
2010,Extraordinary Measures
2010,127 Hours
2010,The Conspirator
2010,Skyline
2010,The Next Three Days
2010,The Kids Are All Right
2010,The Ghost Writer
2010,Remember Me
2010,Repo Men
2010,Solitary Man
2010,Inside Job
2010,Never let me Go
2010,The Round Up – La Rafle
2010,The Way
2010,十三人の刺客
2010,Белка и Стрелка. Звёздные собаки
2010,Conviction
2010,Fair Game
2009,Avatar
2009,Transformers: Revenge of the Fallen
2009,Harry Potter and the Half-Blood Prince
2009,The Twilight Saga: New Moon
2009,Up
2009,The Hangover
2009,Star Trek
2009,The Blind Side
2009,Alvin and the Chipmunks: The Squeakquel
2009,Sherlock Holmes
2009,Monsters Vs. Aliens
2009,Ice Age: Dawn of the Dinosaurs
2009,X-Men Origins: Wolverine
2009,Night at the Museum: Battle of the Smithsonian
2009,2012
2009,The Proposal
2009,Fast and Furious
2009,G.I. Joe: The Rise of Cobra
2009,Paul Blart: Mall Cop
2009,Taken
2009,A Christmas Carol (2009)
2009,Angels & Demons
2009,Terminator Salvation
2009,Cloudy with a Chance of Meatballs
2009,Inglourious Basterds
2009,G-Force
2009,District 9
2009,It's Complicated
2009,Couples Retreat
2009,Paranormal Activity
2009,Watchmen
2009,The Princess and the Frog
2009,Public Enemies
2009,Julie & Julia
2009,He's Just Not That Into You
2009,Tyler Perry's Madea Goes to Jail
2009,The Ugly Truth
2009,Up in the Air
2009,Knowing
2009,Hannah Montana The Movie
2009,Where the Wild Things Are
2009,Zombieland
2009,Coraline
2009,Law Abiding Citizen
2009,Hotel for Dogs
2009,Michael Jackson's This Is It
2009,"I Love You, Man"
2009,Obsessed
2009,Race to Witch Mountain
2009,The Final Destination
2009,The Taking of Pelham 1 2 3
2009,Friday the 13th (2009)
2009,17 Again
2009,The Time Traveler's Wife
2009,Bruno
2009,Bride Wars
2009,The Haunting in Connecticut
2009,Ghosts of Girlfriends Past
2009,Funny People
2009,Tyler Perry's I Can Do Bad All By Myself
2009,My Bloody Valentine 3-D
2009,Old Dogs
2009,Land of the Lost
2009,My Sister's Keeper
2009,"Precious: Based on the Novel ""Push"" by Sapphire"
2009,Underworld: Rise of the Lycans
2009,Confessions of a Shopaholic
2009,The Lovely Bones
2009,Year One
2009,The Unborn (2009)
2009,Planet 51
2009,Drag Me to Hell
2009,Orphan
2009,Duplicity
2009,Crazy Heart
2009,Surrogates
2009,Ninja Assassin
2009,Invictus
2009,State of Play
2009,Notorious (2009)
2009,The Pink Panther 2
2009,All About Steve
2009,Halloween II (2009)
2009,The Informant!
2009,The Last House on the Left (2009)
2009,The Men Who Stare at Goats
2009,(500) Days of Summer
2009,Under the Sea 3D
2009,Earth (2009)
2009,Push
2009,9
2009,The Soloist
2009,Toy Story / Toy Story 2 (3D)
2009,Did You Hear About the Morgans?
2009,The Stepfather (2009)
2009,The Uninvited
2009,Brothers
2009,Saw VI
2009,Dance Flick
2009,The Fourth Kind
2009,Vicky the Viking
2009,"HOME (Yann Arthus-Bertrand, Luc Besson)"
2009,The International
2009,Inkheart
2009,Sunshine Cleaning
2009,A Serious Man
2009,Capitalism: A Love Story
2009,The Imaginarium of Doctor Parnassus
2009,Dorian Gray
2009,Hachi: A Dog's Tale
2009,Arthur et la Vengeance de Maltazard
2009,Harry Brown
2009,Love Happens
2009,Darfur
2009,The Rebound
2009,The White Ribbon
2009,Moon
2008,The Dark Knight
2008,Iron Man
2008,Indiana Jones and the Kingdom of the Crystal Skull
2008,Hancock
2008,WALL-E
2008,Kung Fu Panda
2008,Twilight
2008,Madagascar: Escape 2 Africa
2008,Quantum of Solace
2008,Dr. Seuss' Horton Hears a Who!
2008,Sex and the City
2008,Gran Torino
2008,Mamma Mia!
2008,Marley and Me
2008,The Chronicles of Narnia: Prince Caspian
2008,Slumdog Millionaire
2008,The Incredible Hulk
2008,Wanted
2008,Get Smart
2008,The Curious Case of Benjamin Button
2008,Four Christmases
2008,Bolt
2008,Tropic Thunder
2008,Bedtime Stories
2008,The Mummy: Tomb of the Dragon Emperor
2008,Journey to the Center of the Earth
2008,Eagle Eye
2008,Step Brothers
2008,You Don't Mess with the Zohan
2008,Yes Man
2008,"10,000 B.C."
2008,Beverly Hills Chihuahua
2008,High School Musical 3: Senior Year
2008,Pineapple Express
2008,Valkyrie
2008,21
2008,What Happens in Vegas
2008,Jumper
2008,Cloverfield
2008,The Day the Earth Stood Still (2008)
2008,27 Dresses
2008,Hellboy II: The Golden Army
2008,Vantage Point
2008,The Spiderwick Chronicles
2008,Fool's Gold
2008,Seven Pounds
2008,Role Models
2008,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour
2008,The Happening
2008,Forgetting Sarah Marshall
2008,Baby Mama
2008,Burn After Reading
2008,Step Up 2 the Streets
2008,Saw V
2008,The Strangers
2008,The Forbidden Kingdom
2008,The Tale of Despereaux
2008,Australia
2008,The House Bunny
2008,Nim's Island
2008,Made of Honor
2008,College Road Trip
2008,The Sisterhood of the Traveling Pants 2
2008,Speed Racer
2008,Prom Night (2008)
2008,Rambo
2008,Welcome Home Roscoe Jenkins
2008,Tyler Perry's Meet the Browns
2008,Nights in Rodanthe
2008,Max Payne
2008,Righteous Kill
2008,Body of Lies
2008,Lakeview Terrace
2008,Meet the Spartans
2008,Harold and Kumar Escape from Guantanamo Bay
2008,First Sunday
2008,The Secret Life of Bees
2008,Tyler Perry's The Family That Preys
2008,Death Race
2008,Changeling
2008,Star Wars: The Clone Wars
2008,The Reader
2008,Semi-Pro
2008,Fireproof
2008,Doubt
2008,Drillbit Taylor
2008,"Definitely, Maybe"
2008,The Love Guru
2008,Milk
2008,Transporter 3
2008,Quarantine
2008,Nick and Norah's Infinite Playlist
2008,Zack and Miri Make a Porno
2008,The Eye
2008,Leatherheads
2008,Mirrors
2008,Space Chimps
2008,The Bank Job
2008,Untraceable
2008,Defiance
2008,The Oxford Murders
2008,The Hurt Locker
2008,The Red Baron
2008,In Bruges
2008,The Wrestler
2008,Vicky Cristina Barcelona
2008,Babylon A.D.
2008,W.
2008,Street Kings
2008,Frost/Nixon
2008,The Duchess
2008,Smart People
2008,The Boy in the Striped Pyjamas
2008,RockNRolla
2008,The Counterfeiters
2008,In the Name of the King: A Dungeon Siege Tale
2008,Transsiberian
2008,The Accidental Husband
2008,Entre les murs
2008,The other Boleyn girl
2008,Last Chance Harvey
2008,Rachel Getting Married
2008,Nothing But the Truth
2008,Revolutinary Road
2008,Outlander
2009,Passengers
2007,Spider-Man 3
2007,Shrek the Third
2007,Transformers
2007,Pirates of the Caribbean: At World's End
2007,Harry Potter and the Order of the Phoenix
2007,I Am Legend
2007,The Bourne Ultimatum
2007,National Treasure: Book of Secrets
2007,Alvin and the Chipmunks
2007,300
2007,Ratatouille
2007,The Simpsons Movie
2007,Wild Hogs
2007,Knocked Up
2007,Juno
2007,Rush Hour 3
2007,Live Free or Die Hard
2007,Fantastic Four: Rise of the Silver Surfer
2007,American Gangster
